Country Code,year,gdp_per_capita,Income
QAT,2024,76275.90768,HIC
SAU,2024,35057.22523,HIC
SYC,2024,17858.82264,HIC
TTO,2024,19314.71634,HIC
URY,2024,23906.5133,HIC
USA,2024,85809.90038,HIC
ARG,2024,13858.20398,LAC
BLZ,2024,8429.679597,LAC
BOL,2024,4001.21134,LAC
BRA,2024,10280.31486,LAC
COL,2024,7913.988015,LAC
DOM,2024,10875.66184,LAC
ECU,2024,6874.70574,LAC
GRD,2024,11871.6117,LAC
GTM,2024,6150.025978,LAC
HND,2024,3426.434833,LAC
HTI,2024,2142.623305,LAC
JAM,2024,7019.746348,LAC
LCA,2024,14181.63034,LAC
MEX,2024,14157.94458,LAC
NIC,2024,2847.539663,LAC
PER,2024,8452.37167,LAC
PRY,2024,6416.09709,LAC
SLV,2024,5579.659692,LAC
SUR,2024,7430.702192,LAC
VCT,2024,11501.22652,LAC
BDI,2024,153.9302179,LIC
BFA,2024,987.3213781,LIC
CAF,2024,516.1704245,LIC
COD,2024,647.4357048,LIC
GMB,2024,908.5256742,LIC
GNB,2024,962.9836279,LIC
LBR,2024,846.2773684,LIC
